Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
15,A,report plac her bag contain the list tim on the ground turn her back for minut and when she turn around the list property was gon by unknown suspect,Washington,DC,20020,38.8506671795214,-76.9679579311902,
3,A,rpts that she wer argu about drink slam door told to get out when said that she was not going anywh went got two dog let them go told them to get,Washington,DC,20003,38.8779960496195,-76.9836533814237,
15,A,report on the list dat tim and at the list loc her vehic was tak without her permit key ar with the own reg in the vehic,Washington,DC,20020,38.8457121285602,-76.9742659614227,
20,A,rpts that ent the loc stat wher is the envelop told to get on the ground comply but when look up hit in the fac with handgun stat that they did not hav any envelop,Washington,DC,20002,38.8984175414303,-76.9795825822218,
15,A,report that on the list dat tim and loc that unknown person brok into the list vehic and took the list property without permit,Washington,DC,20019,38.8750579061882,-76.9367415570196,
20,A,report on the list dat and tim that approach her as she was ent the stor and snatch her wallet then ran west neal st ne,Washington,DC,20002,38.9013616403365,-76.9803947808839,
20,A,stat that she was walk hom from an ev when snatch her purs the purs fel to the ground the cont fel out grab the empty purs ran toward the blk of st se,Washington,DC,20003,38.8842740624178,-77.0013099623825,
3,A,on the list dat and tim told mpd that he was approach by and both of whom display weapon aft see the weapon adv he fled on foot eastbound on brook street both suspect gav chas brief aft but then fled,Washington,DC,20019,38.8931857928328,-76.9372674006009,
20,A,rpts that approach her from behind snatch her purs out of her hand fled on foot run eastbound in the blk of st nw,Washington,DC,20001,38.8998123421906,-77.0209120869776,
15,A,report that unknown suspect ent her vehic by smash the rightsid vent window then took the list propery from the vehic,Washington,DC,20032,38.8406469148083,-77.0047301887688,
5,A,report that on the list dat and tim he reciev radio assign for burgl in progress ont on the scen report wit and fle from the list loc,Washington,DC,20019,38.8750579061882,-76.9367415570196,
5,A,rpts that unk person ent her rear gat us bench to stand on attempt to gain entry into her second flo window entry was gain becaus the window was lock howev the window was forc up to the lock,Washington,DC,20002,38.9046843546652,-76.9995060565521,
15,A,report person unknown us her credit card and obtain the list amount of us cur from her account without her permit,Washington,DC,20020,38.8630522371599,-76.9513207578094,
5,A,rpts for that an unk suspect ent the list loc by forc the off door op ont insid ransack the off includ pul al of the fil out of the fil cabinet dump them on the flo noth appear to hav been tak,Washington,DC,20001,38.9008608067174,-77.0194194753194,
5,A,rpts that unk suspect ent the list loc in an unk man ont insid the list property was tak,Washington,DC,20002,38.9007643131046,-76.9995082452554,
15,A,report that the passeng sid vehic front door was pri op us an unknown object the vehic consol and dashboard wer destroy and the list property was stol,Washington,DC,20009,38.9133533745321,-77.0374959826589,
15,A,report between the list dat and tim the list vehic was ent through the passeng window ont insid the list vehic was stol,Washington,DC,20001,38.9148265730316,-77.0132753117784,
5,A,own the hous at the list loc but doe not liv their it is und renov rpts that when she approach the frt of the hous to retriev her mail she heard voic insid look insid of the window saw subject stand insid,Washington,DC,20002,38.8983019002127,-76.980765307728,
