Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
15,A,cash stol busy,,VA,,38.927908,-77.242154,2009-5-17
15,A,laptop comput stol busy,,VA,,38.927908,-77.242154,2009-5-17
15,A,gps unit stol vehic,Falls Church,VA,22043,38.9154012,-77.2098865,2009-5-17
15,A,cellul phon stol school,Merrifield,VA,,38.87359,-77.234719,2009-5-17
15,A,tool stol vehic,MC Lean,VA,22102,38.9228985,-77.1993035,2009-5-17
17,A,toyot camry,Falls Church,VA,22043,38.9017257,-77.2085571,2009-5-17
17,A,chevrolet ventur,,VA,,38.873033,-77.246057,2009-5-17
15,A,beer stol busy,Hinton,WV,,37.709869,-80.814227,2009-5-17
15,A,money stol busy,Falls Church,VA,22044,38.8658517,-77.1507855,2009-5-17
15,A,stereo equip stol busy,Falls Church,VA,22041,38.8476805,-77.1224471,2009-5-17
15,A,gps unit stol vehic,Hinton,VA,,38.465858,-78.972194,2009-5-17
15,A,bicyc stol resid,Annandale,VA,22003,38.836606,-77.160103,2009-5-17
15,A,cellul phon stol resid,Hinton,VA,,38.465858,-78.972194,2009-5-17
15,A,tool stol vehic,Falls Church,VA,22044,38.8683495,-77.1470579,2009-5-17
15,A,bicyc stol resid,Hinton,WV,,37.709869,-80.814227,2009-5-17
15,A,boat stol busy,Falls Church,VA,22044,38.853422,-77.158055,2009-5-17
17,A,ford crown victor,,VA,,38.849501,-77.127571,2009-5-17
15,A,bicyc stol resid,Reston,VA,20191,38.941112,-77.361312,2009-5-17
15,A,watch video gam system gam dvds cds stol resid,Reston,VA,20191,38.941112,-77.361312,2009-5-17
15,A,stereo stol vehic,Reston,VA,20194,38.975751,-77.329246,2009-5-17
15,A,roof rack stol vehic,Herndon,VA,20171,38.9458156,-77.4148514,2009-5-17
15,A,money stol busy,Herndon,VA,20170,38.968469,-77.392166,2009-5-17
15,A,cellul phon ipod stol school,Herndon,VA,20170,38.968469,-77.392166,2009-5-17
15,A,cellul phon stol school,Herndon,VA,20170,38.968469,-77.392166,2009-5-17
15,A,golf club stol resid,Reston,VA,20190,38.9585469,-77.3544344,2009-5-17
15,A,wallet stol vehic,Great Falls,VA,22066,38.9973263,-77.3147246,2009-5-17
17,A,hond accord,Reston,VA,20191,38.945671,-77.3578274,2009-5-17
17,A,jeep grand cherok,Reston,VA,20190,38.954829,-77.363709,2009-5-17
15,A,licens plat stol vehic,Annandale,VA,,38.831796,-77.195306,2009-5-17
15,A,gen tool stol vehic,Annandale,VA,22003,38.819833,-77.177432,2009-5-17
15,A,passport green card soc sec card stol resid,Alexandria,VA,22312,38.8046098,-77.1541801,2009-5-17
15,A,wallet stol school,Springfield,VA,22150,38.7783081,-77.1673144,2009-5-17
15,A,purs stol vehic,,VA,,38.780371,-77.154652,2009-5-17
15,A,purs stol busy,Alexandria,VA,22310,38.782516,-77.146361,2009-5-17
15,A,two bicyc stol resid,Annandale,VA,,38.834455,-77.217878,2009-5-17
15,A,liqu stol busy,Annandale,VA,,38.831796,-77.195306,2009-5-17
15,A,purs stol vehic,Springfield,VA,22150,38.779203,-77.185848,2009-5-17
15,A,temp tag stol vehic,Alexandria,VA,22310,38.7939868,-77.1342194,2009-5-17
15,A,compress saw stol vehic,Annandale,VA,22003,38.8227992,-77.195811,2009-5-17
15,A,two cas beer stol busy,Annandale,VA,,38.831796,-77.195306,2009-5-17
17,A,isuzu troop,Springfield,VA,22150,38.7822347,-77.1901275,2009-5-17
15,A,purs stol resid,Annandale,VA,22003,38.8286007,-77.2080107,2009-5-17
15,A,radio stol vehic,Annandale,VA,22003,38.821193,-77.19107,2009-5-17
15,A,two cellul phon stol vehic,Annandale,VA,,38.831796,-77.195306,2009-5-17
15,A,gps unit stol vehic,Annandale,VA,,38.834455,-77.217878,2009-5-17
15,A,laptop comput dvds stol resid,Annandale,VA,22003,38.829712,-77.2107752,2009-5-17
15,A,gps unit stol vehic,Annandale,VA,,38.834455,-77.217878,2009-5-17
15,A,cash stol busy,Springfield,VA,22152,38.77963,-77.234125,2009-5-17
15,A,bicyc stol resid,Annandale,VA,,38.834455,-77.217878,2009-5-17
15,A,two front seat stol vehic,Alexandria,VA,22310,38.785276,-77.128962,2009-5-17
15,A,licens plat stol vehic,Annandale,VA,22003,38.850068,-77.19974,2009-5-17
15,A,gps unit stol vehic,Annandale,VA,,38.831796,-77.195306,2009-5-17
17,A,toyot tacom,Annandale,VA,22003,38.827198,-77.217266,2009-5-17
17,A,dodg,Springfield,VA,22150,38.7686721,-77.171396,2009-5-17
17,A,acur integr,Annandale,VA,22003,38.827787,-77.218395,2009-5-17
15,A,chain saw trim blow stol resid,Herndon,VA,20171,38.9085595,-77.3727843,2009-5-17
15,A,ipod stol vehic,Herndon,VA,,38.969698,-77.385475,2009-5-17
17,A,ford,Herndon,VA,,38.969698,-77.385475,2009-5-17
17,A,yamah motorcyc,Fairfax,VA,22033,38.8612955,-77.3705326,2009-5-17
1,B,incid org stat typ offens they list,Chantilly,VA,,38.88361,-77.439774,2009-1-4
1,B,show chain bridg road would mean block chain bridg,Chantilly,VA,,38.883607,-77.439755,2009-1-4
1,B,distribut offens,Chantilly,VA,,38.883607,-77.439755,2009-1-4
1,B,two men arrest burgl chantil donut stor hen court,Chantilly,VA,20151,38.8847032,-77.4337243,2009-1-4
20,A,alexandriaare man rob wednesday janu the man park,Alexandria,VA,22303,38.792593,-77.05895,
20,A,on sunday febru pm man took pain med rit aid,,VA,,38.87355,-77.2384295,2009-1-1
1,B,on sunday febru around pm off observ smok com pickup truck,Fairfax,VA,22031,38.879361,-77.2361748,2009-1-1
20,A,two men apprehend wednesday febru alleg rob anoth,Alexandria,VA,22312,38.820289,-77.146944,2009-1-4
1,B,on tuesday janu detect arrest amjad zuhd arn old bayberry,Reston,VA,20194,38.9737461,-77.3524589,
20,A,reston man rob monday febru pass,Reston,VA,20191,38.9382787,-77.3619273,2009-1-2
5,A,two wom insid hom block reston avenu around pm,Herndon,VA,20170,38.9921275,-77.3450983,2009-1-4
5,A,four teen on adult fac crimin charg burgl spree saratog are,Annandale,VA,,38.831796,-77.195306,2009-1-4
5,A,two men arrest short midnight thursday janu alleg break,Annandale,VA,,38.831796,-77.195306,
5,A,burk transport fairfax county adult det cent,Annandale,VA,,38.834455,-77.217878,2009-1-4
1,B,man arrest monday febru alleg defraud bb bank decemb,Annandale,VA,,38.831796,-77.195306,2009-1-2
20,A,man rob walk bus stop near northedg driv scot street thursday,Annandale,VA,,38.834455,-77.217878,2009-1-4
1,B,man arrest alleg grab laurel maryland wom friday,Annandale,VA,22003,38.832921,-77.207775,2009-1-4
20,A,man rob bb bank loc franklin farm road saturday janu,Chantilly,VA,,38.877344,-77.408781,
